Type,Description,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg
Vegetables and Vegetable Products,"Squash, winter, butternut, cooked, baked, without salt",0.9,0.09,10.49,1.97,3.2,558
Vegetables and Vegetable Products,"Beans, snap, green, frozen, all styles, microwaved",1.98,0.41,6.98,2.6,3.4,26
Fruits and Fruit Juices,"Apples, raw, without skin, cooked, boiled",0.26,0.36,13.64,11.01,2.4,2
Fruits and Fruit Juices,"Pears, canned, heavy syrup, drained",0.24,0.18,19.08,16.42,2.7,0
Breakfast Cereals,"Cereals ready-to-eat, POST, GRAPE-NUTS Flakes",9.4,3.7,82,15.2,10.2,775
Vegetables and Vegetable Products,"Corn, sweet, white, canned, cream style, regular pack",1.74,0.42,18.62,2.21,1.2,0
Poultry Products,"Chicken, stewing, dark meat, meat only, cooked, stewed",28.14,15.28,0,0,0,44
Breakfast Cereals,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",7.7,7.3,79.6,20,5.5,680
Vegetables and Vegetable Products,"Corn, sweet, yellow, canned, brine pack, regular pack, solids and liquids",1.95,0.77,13.86,2.83,1.7,2
Poultry Products,"Turkey, enhanced, skin from whole, (light and dark), roasted",22.15,40.31,0,0,0,79
Fruits and Fruit Juices,"Peaches, dried, sulfured, stewed, without added sugar",1.16,0.25,19.69,16.99,2.7,10
Breakfast Cereals,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",7.9,5.1,81.8,20.7,7.8,527
Fruits and Fruit Juices,"Oranges, raw, all commercial varieties",0.94,0.12,11.75,9.35,2.4,11
Vegetables and Vegetable Products,"Squash, winter, all varieties, cooked, baked, without salt",0.89,0.35,8.85,3.3,2.8,261
Vegetables and Vegetable Products,"Eggplant, cooked, boiled, drained, without salt",0.83,0.23,8.73,3.2,2.5,2
Vegetables and Vegetable Products,"Squash, winter, butternut, raw",1,0.1,11.69,2.2,2,532
Fruits and Fruit Juices,"Raspberries, canned, red, heavy syrup pack, solids and liquids",0.83,0.12,23.36,20.06,3.3,2
Fruits and Fruit Juices,"Blueberries, wild, canned, heavy syrup, drained",0.56,0.34,28.32,19.28,4.9,0
Vegetables and Vegetable Products,"Vegetables, mixed, frozen, cooked, boiled, drained, without salt",2.86,0.15,13.09,3.12,4.4,214
Vegetables and Vegetable Products,"Squash, winter, butternut, cooked, baked, with salt",0.9,0.09,10.49,1.97,3.2,558
Fruits and Fruit Juices,"Apples, raw, red delicious, with skin",0.27,0.2,14.06,10.48,2.3,3
Vegetables and Vegetable Products,"Peas, green, canned, no salt added, solids and liquids",3.19,0.3,9.75,3.2,3.3,72
Fruits and Fruit Juices,"Apples, raw, with skin",0.26,0.17,13.81,10.39,2.4,3
Vegetables and Vegetable Products,"Rutabagas, cooked, boiled, drained, without salt",0.93,0.18,6.84,3.95,1.8,0
Poultry Products,"Chicken, broilers or fryers, wing, meat and skin, cooked, stewed",22.78,16.82,0,0,0,40
Poultry Products,"Chicken, broilers or fryers, meat and skin and giblets and neck, roasted",26.78,13.27,0.06,0,0,191
Breakfast Cereals,"Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K, Cinnamon Pecan",7.5,6,81.2,24,10.3,750
Fruits and Fruit Juices,"Pears, dried, sulfured, stewed, without added sugar",0.91,0.31,33.81,27.41,6.4,2
